X0,Y0,Y1,Y2,Y3
0.000000,1.00000,1.00000,1.00000,1.00000
0.032258,1.05350,1.03591,1.04946,1.04236
0.064516,0.99547,0.95754,0.99242,0.97700
0.096774,0.93481,0.89673,0.93054,0.90467
0.129032,0.85313,0.81279,0.85256,0.82054
0.161290,0.76278,0.72205,0.76134,0.74457
0.193548,0.66537,0.62280,0.65987,0.64331
0.225806,0.56864,0.51432,0.56351,0.54624
0.258065,0.46415,0.41001,0.46131,0.43579
0.290323,0.36831,0.30329,0.36595,0.32916
0.322581,0.27326,0.20850,0.28126,0.22469
0.354839,0.19120,0.12551,0.18889,0.13605
0.387097,0.11998,0.06829,0.11583,0.06949
0.419355,0.06264,0.02882,0.05761,0.02508
0.451613,0.02638,0.02137,0.02716,0.02225
0.483871,0.02696,0.02826,0.02732,0.03640
0.516129,0.03241,0.03048,0.03305,0.03818
0.548387,0.03388,0.02712,0.03190,0.03361
0.580645,0.03718,0.02760,0.03630,0.02943
0.612903,0.04461,0.02816,0.04319,0.03105
0.645161,0.05380,0.03494,0.05446,0.03810
0.677419,0.05980,0.04150,0.05965,0.04786
0.709677,0.06117,0.05102,0.06246,0.05372
0.741935,0.05952,0.05183,0.05801,0.05575
0.774194,0.05500,0.05008,0.05356,0.05195
0.806452,0.04805,0.04361,0.04701,0.04527
0.838710,0.04152,0.03795,0.04242,0.03754
0.870968,0.03786,0.03091,0.03658,0.03167
0.903226,0.03460,0.02886,0.03485,0.02854
0.935484,0.03365,0.02650,0.03270,0.02803
0.967742,0.03344,0.02763,0.03362,0.02744
1.000000,0.03347,0.02629,0.03260,0.02782
