#36864
#36300
#36300
#564
#0
   Index      Gx      Gy      Gz
       0     343     343   32763
       1    -343     343   32763
       2    -343    -343   32763
       3     343    -343   32763
       4     898     372   32752
       5     372     898   32752
       6    -372     898   32752
       7    -898     372   32752
       8    -898    -372   32752
       9    -372    -898   32752
      10     372    -898   32752
      11     898    -372   32752
      12    1409     377   32734
      13    1031    1031   32734
      14     377    1409   32734
      15    -377    1409   32734
      16   -1031    1031   32734
      17   -1409     377   32734
      18   -1409    -377   32734
      19   -1031   -1031   32734
      20    -377   -1409   32734
      21     377   -1409   32734
      22    1031   -1031   32734
      23    1409    -377   32734
      24    1907     379   32709
      25    1617    1080   32709
      26    1080    1617   32709
      27     379    1907   32709
      28    -379    1907   32709
      29   -1080    1617   32709
      30   -1617    1080   32709
      31   -1907     379   32709
      32   -1907    -379   32709
      33   -1617   -1080   32709
      34   -1080   -1617   32709
      35    -379   -1907   32709
      36     379   -1907   32709
      37    1080   -1617   32709
      38    1617   -1080   32709
      39    1907    -379   32709
      40    2400     380   32676
      41    2165    1103   32676
      42    1718    1718   32676
      43    1103    2165   32676
      44     380    2400   32676
      45    -380    2400   32676
      46   -1103    2165   32676
      47   -1718    1718   32676
      48   -2165    1103   32676
      49   -2400     380   32676
      50   -2400    -380   32676
      51   -2165   -1103   32676
      52   -1718   -1718   32676
      53   -1103   -2165   32676
      54    -380   -2400   32676
      55     380   -2400   32676
      56    1103   -2165   32676
      57    1718   -1718   32676
      58    2165   -1103   32676
      59    2400    -380   32676
      60    2890     380   32637
      61    2693    1115   32637
      62    2313    1774   32637
      63    1774    2313   32637
      64    1115    2693   32637
      65     380    2890   32637
      66    -380    2890   32637
      67   -1115    2693   32637
      68   -1774    2313   32637
      69   -2313    1774   32637
      70   -2693    1115   32637
      71   -2890     380   32637
      72   -2890    -380   32637
      73   -2693   -1115   32637
      74   -2313   -1774   32637
      75   -1774   -2313   32637
      76   -1115   -2693   32637
      77    -380   -2890   32637
      78     380   -2890   32637
      79    1115   -2693   32637
      80    1774   -2313   32637
      81    2313   -1774   32637
      82    2693   -1115   32637
      83    2890    -380   32637
      84    3379     380   32590
      85    3209    1123   32590
      86    2879    1809   32590
      87    2404    2404   32590
      88    1809    2879   32590
      89    1123    3209   32590
      90     380    3379   32590
      91    -380    3379   32590
      92   -1123    3209   32590
      93   -1809    2879   32590
      94   -2404    2404   32590
      95   -2879    1809   32590
      96   -3209    1123   32590
      97   -3379     380   32590
      98   -3379    -380   32590
      99   -3209   -1123   32590
     100   -2879   -1809   32590
     101   -2404   -2404   32590
     102   -1809   -2879   32590
     103   -1123   -3209   32590
     104    -380   -3379   32590
     105     380   -3379   32590
     106    1123   -3209   32590
     107    1809   -2879   32590
     108    2404   -2404   32590
     109    2879   -1809   32590
     110    3209   -1123   32590
     111    3379    -380   32590
     112    3865     380   32535
     113    3717    1127   32535
     114    3425    1831   32535
     115    3002    2464   32535
     116    2464    3002   32535
     117    1831    3425   32535
     118    1127    3717   32535
     119     380    3865   32535
     120    -380    3865   32535
     121   -1127    3717   32535
     122   -1831    3425   32535
     123   -2464    3002   32535
     124   -3002    2464   32535
     125   -3425    1831   32535
     126   -3717    1127   32535
     127   -3865     380   32535
     128   -3865    -380   32535
     129   -3717   -1127   32535
     130   -3425   -1831   32535
     131   -3002   -2464   32535
     132   -2464   -3002   32535
     133   -1831   -3425   32535
     134   -1127   -3717   32535
     135    -380   -3865   32535
     136     380   -3865   32535
     137    1127   -3717   32535
     138    1831   -3425   32535
     139    2464   -3002   32535
     140    3002   -2464   32535
     141    3425   -1831   32535
     142    3717   -1127   32535
     143    3865    -380   32535
     144    4351     380   32474
     145    4219    1130   32474
     146    3958    1846   32474
     147    3578    2505   32474
     148    3088    3088   32474
     149    2505    3578   32474
     150    1846    3958   32474
     151    1130    4219   32474
     152     380    4351   32474
     153    -380    4351   32474
     154   -1130    4219   32474
     155   -1846    3958   32474
     156   -2505    3578   32474
     157   -3088    3088   32474
     158   -3578    2505   32474
     159   -3958    1846   32474
     160   -4219    1130   32474
     161   -4351     380   32474
     162   -4351    -380   32474
     163   -4219   -1130   32474
     164   -3958   -1846   32474
     165   -3578   -2505   32474
     166   -3088   -3088   32474
     167   -2505   -3578   32474
     168   -1846   -3958   32474
     169   -1130   -4219   32474
     170    -380   -4351   32474
     171     380   -4351   32474
     172    1130   -4219   32474
     173    1846   -3958   32474
     174    2505   -3578   32474
     175    3088   -3088   32474
     176    3578   -2505   32474
     177    3958   -1846   32474
     178    4219   -1130   32474
     179    4351    -380   32474
     180    4836     380   32405
     181    4716    1132   32405
     182    4481    1856   32405
     183    4136    2534   32405
     184    3688    3150   32405
     185    3150    3688   32405
     186    2534    4136   32405
     187    1856    4481   32405
     188    1132    4716   32405
     189     380    4836   32405
     190    -380    4836   32405
     191   -1132    4716   32405
     192   -1856    4481   32405
     193   -2534    4136   32405
     194   -3150    3688   32405
     195   -3688    3150   32405
     196   -4136    2534   32405
     197   -4481    1856   32405
     198   -4716    1132   32405
     199   -4836     380   32405
     200   -4836    -380   32405
     201   -4716   -1132   32405
     202   -4481   -1856   32405
     203   -4136   -2534   32405
     204   -3688   -3150   32405
     205   -3150   -3688   32405
     206   -2534   -4136   32405
     207   -1856   -4481   32405
     208   -1132   -4716   32405
     209    -380   -4836   32405
     210     380   -4836   32405
     211    1132   -4716   32405
     212    1856   -4481   32405
     213    2534   -4136   32405
     214    3150   -3688   32405
     215    3688   -3150   32405
     216    4136   -2534   32405
     217    4481   -1856   32405
     218    4716   -1132   32405
     219    4836    -380   32405
     220    5319     380   32330
     221    5211    1133   32330
     222    4996    1863   32330
     223    4680    2555   32330
     224    4269    3195   32330
     225    3770    3770   32330
     226    3195    4269   32330
     227    2555    4680   32330
     228    1863    4996   32330
     229    1133    5211   32330
     230     380    5319   32330
     231    -380    5319   32330
     232   -1133    5211   32330
     233   -1863    4996   32330
     234   -2555    4680   32330
     235   -3195    4269   32330
     236   -3770    3770   32330
     237   -4269    3195   32330
     238   -4680    2555   32330
     239   -4996    1863   32330
     240   -5211    1133   32330
