#36864
#36864
#36864
#0
#0
   Index      Gx      Gy      Gz
       0   24764    5914   20625
       1    3362  -18845   26593
       2   -9461   19662  -24445
       3  -12557  -13494   27090
       4   -8158  -30526    8674
       5   14935  -12449  -26374
       6  -26765   12106  -14515
       7   31761   -7447    3072
       8  -12655   -3817   29982
       9   -4715  -11102   30466
      10  -23828   -1547  -22437
      11   10277    4118   30839
      12   -5742   11962   29959
      13  -17541   27659    -958
      14  -23735  -11093   19678
      15    4034   22508  -23468
      16  -32202   -3226   -5127
      17   14413  -11119   27244
      18    4947   26124   19149
      19  -12201    4247   30112
      20  -31032    2553   10206
      21    4456  -11315  -30426
      22   23450    -522   22879
      23  -14092    8134   28441
      24   28857   10185   11713
      25   21954  -17503   16890
      26   23754  -15984   15933
      27   22698   22551   -7062
      28    7558   30211   10189
      29  -23942   -6009  -21548
      30  -29818   -1492   13503
      31  -10928   -3596  -30680
      32   29121    3448  -14619
      33     533  -13742  -29741
      34  -18077    7059  -26401
      35  -14703   20202   21197
      36   22493  -20116   12767
      37   29531   -7608  -11986
      38  -12485   -6874   29504
      39  -11917    -899  -30509
      40  -12890   29856   -4014
      41  -14321   28431   -7761
      42   24961   12158   17400
      43  -24237   10581   19345
      44  -21239  -14193  -20520
      45  -18499   27036    -670
      46  -32566     611   -3565
      47  -26501   16715    9588
      48   -5229   29293   13720
      49   15631  -23468   16690
      50   27813    9200  -14677
      51   -3307  -30398   11776
      52   29653   -9541   10164
      53  -10867   21603  -22110
      54   14100  -15856  -24968
      55  -13571   29824    -107
      56     609   12866   30128
      57    2641   30940  -10460
      58  -19894   25429    5587
      59   10954   25021  -18099
      60  -26048  -11136   16466
      61   15809  -23793  -16049
      62  -31064   10417     390
      63  -29908   -2987   13046
      64   -3753  -20083   25617
      65   -2517  -12703   30099
      66   30646   11175    3094
      67  -18431   13157  -23682
      68   18105  -14752  -22983
      69  -27195   -9031  -15891
      70  -19361   14150   22328
      71   28425   -2524  -16102
      72    4530  -25078   20596
      73   26813   -8496  -16807
      74  -13208  -10384   28131
      75    1524   31220   -9831
      76  -23448  -11336  -19883
      77   -6052  -27765  -16312
      78  -29975  -10831    7604
      79  -25084   21008   -1750
      80   -8667  -30067   -9721
      81    4423  -24167   21680
      82  -14572   28811    5587
      83   31015  -10053    3258
      84   17852    2730   27340
      85  -14314   25919  -14034
      86   -8547   26767   16855
      87   -6318  -27518   16627
      88  -27070   16718   -7834
      89   27734  -16873    4444
      90  -11273  -13189  -27795
      91  -13850    5232  -29231
      92  -31382    9203    2018
      93   19348  -19094   18294
      94  -11770   11231   28442
      95   -5903  -21227  -24253
      96   18080   26952    4510
      97   28556  -15942   -2005
      98    4276    5676  -31987
      99  -14777   27227  -10674
     100  -12799   20487  -22138
     101   23000  -13142   19285
     102    1460   30306  -12371
     103    3879  -32482    1869
     104   17419   17033  -21911
     105  -18797  -25993    6683
     106  -19545   21221  -15533
     107   30301   -7316   10097
     108  -21980   20899   12399
     109  -24221  -14917   16262
     110  -29063   14782   -3241
     111   17850    3344  -27273
     112   -2990   27372  -17761
     113  -10825   14924   27087
     114   11404  -20606  -22781
     115  -17780   17366   21352
     116   29633  -13756    2512
     117   -3970    -876   32513
     118   -3558  -17228  -27643
     119  -27847   16854   -3756
     120  -20185    1322  -25777
     121  -11668   -4608   30270
     122   -4361    -889  -32463
     123  -27369     -78   18015
     124   24292    7152   20794
     125   12095  -18535   24162
     126    6241  -17118  -27233
     127   30363   10422   -6567
     128   22419  -17982  -15736
     129     220  -26209   19664
     130   28113  -16220   -4494
     131   18025    4954   26911
     132  -25206   -1901  -20849
     133  -23833  -16310  -15478
     134   22514    5213  -23229
     135   18718   12429  -23849
     136   21733   -3954   24201
     137  -12913   29658    5223
     138  -28770  -15338    3267
     139   12116   19633  -23267
     140   -4468  -22769   23135
     141   31414    4775    7998
     142  -17193   26127   -9767
     143  -32602    3163     868
     144   31956   -3321   -6434
     145  -17017   -3447  -27788
     146  -18102  -21341  -17044
     147  -12859   17289  -24685
     148   25246   -2682  -20714
     149   19123   20434  -17041
     150   -4887   31943   -5421
     151   -1803  -14121  -29512
     152  -18764    5006   26391
     153    8571  -12270   29148
     154   32656   -2623    -598
     155   22976  -23350    -704
     156  -25539   17558  -10634
     157   -7138   18313   26217
     158  -26812  -16773   -8568
     159    6560  -19530  -25479
     160  -21053  -17120   18366
     161   21171  -23942   -7225
     162   26528   -9130  -16928
     163  -14382   28760   -6297
     164   18930   -3992  -26445
     165  -22005   -2779  -24118
     166   -1635  -15224   28969
     167   -8127  -10680   29892
     168  -12689  -29805    4928
     169  -10693   11271  -28849
     170   -7075  -26861  -17380
     171  -29773   -9726   -9623
     172  -24030    7290   21049
     173   -2264   -7746  -31757
     174   -2295  -13097  -29947
     175    9332   22716  -21692
     176   24180  -19836    9772
     177    2101   28959   15185
     178   17006   26281    9682
     179   31672    7757   -3216
     180  -24925  -21045    3080
     181  -26786   13341  -13347
     182   21758  -18522   16035
     183  -23975   -9129  -20384
     184  -19880   22991   12240
     185  -17736   18136  -20740
     186  -30775   -7227   -8618
     187   29329   12069    8232
     188  -21581  -16452   18364
     189   13733   11468  -27450
     190    6784   15356   28139
     191  -27302   -1324   18068
     192  -32745    -800    -865
     193  -27253   17698   -4203
     194  -21915  -24108   -3487
     195    1614  -30166  -12690
     196  -20345  -25679     557
     197   -1607  -32719     705
     198  -16838   18890   20815
     199  -21195   15846   19321
     200  -28180  -13787    9457
     201   26915   16909   -7955
     202   12497  -22372   20419
     203   30042   12903    2151
     204  -26397  -16767   -9782
     205  -14865   -5000   28769
     206   18160  -11700   24637
     207    7052   31829    3286
     208   -8656   30566    8026
     209   20811  -24657    5704
     210   21911  -15057  -19152
     211   26709   13806  -13025
     212   21946  -24256   -1905
     213   24373  -12949  -17662
     214   18965  -14312   22563
     215  -12327  -22837  -20003
     216  -19988   18749  -17961
     217    4822   24181  -21579
     218  -19366   19495  -17847
     219  -28102  -16315   -4213
     220     982   30322  -12379
     221   16012   -6888   27745
     222  -28369   15745   -4573
     223  -14886  -20625  -20655
     224   18443    5429   26533
     225   -5318    7545   31439
     226   -8929   31271   -4006
     227   -7359   19236  -25484
     228   22498   17779  -15854
     229   20286  -25026   -5981
     230   31729    5313    6218
     231   19624   21112  -15583
     232   10041  -30453    6739
     233  -25717   14855   13841
     234   26208   -7368  -18235
     235  -20776   -3660  -25072
     236   29867   -2017  -13324
     237   29382   -8324  -11876
     238  -28888  -14644   -4969
     239  -14529   29365     514
     240   15840   -9215  -27162
     241   14420  -24968  -15565
     242   -3238   25962   19726
     243    9285   -5966  -30852
     244    2729  -16624   28104
     245  -25396   14172   15094
     246   14451  -29398    -746
     247  -24321   21345    5146
     248  -27342   -5445  -17216
     249   31389    9004   -2696
     250   12337    -675   30348
     251  -32236    5006    3067
     252   29487  -14221    1385
     253  -11538  -25122  -17589
     254  -31462    9124    -727
     255   26534   17420    8130
     256   30347   -3862   11739
     257   -8135   30993   -6847
     258  -13121   28740   -8687
     259   -5890   -4036   31979
     260   10509   -6746  -30293
     261  -13603   15858   25241
     262   -3045   18188   27084
     263  -26399       0   19410
     264  -18791   -5381  -26297
