#196
#196
#196
#0
#0
   Index      Gx      Gy      Gz
       0  -13484  -29778   -2256
       1  -10946   12471   28254
       2   30673    9327   -6768
       3   -2927  -22392   23741
       4  -26143   16215  -11281
       5   22039   14769   19229
       6    4721  -28318  -15793
       7  -28292    7525   14716
       8   16273   19912  -20306
       9   13835  -27895   10204
      10  -21380    -753  -24818
      11   12267   29846    5691
      12   10016  -10631  -29331
      13  -30974  -10624    1179
      14     788    8293   31690
      15   28288  -16195   -3333
      16  -14837  -10719   27177
      17   -6334   31176   -7845
      18   23068   -5273   22665
      19  -18364  -24159  -12358
      20  -12973   23996   18152
      21   28020    1977  -16870
      22  -10348  -27937   13640
      23  -17651   17460  -21383
      24   29389   11252    9127
      25   -1194  -20041  -25895
      26  -28703   15116    4615
      27    9637    7492  -30408
      28    7650  -31861     102
      29  -11474    2201   30613
      30   18726   26524   -4409
      31   10029  -17083   26100
      32  -31352   -3325   -8922
      33    7743   23402   21588
      34   21974  -20255  -13434
      35  -25748  -10912   17075
      36     666   27406  -17947
      37   27256  -13150   12563
      38  -18308  -15298  -22459
      39   -8499   30604    8050
      40   18384   -2859  -26972
      41  -17838  -27256    3538
      42   -4867    7660  -31484
      43   32427    4599    -974
      44   -3979  -13617   29536
      45  -24508   21044   -5486
      46   19173    8935   25024
      47     340  -31202   -9999
      48  -23391   10286   20511
      49   21866   19619  -14511
      50    8617  -27266   15999
      51  -26489    3169  -19024
      52   15890   26253   11486
      53   12896  -18798  -23536
      54  -31521   -5609    6973
      55    4175   16415  -28049
      56   25523  -20399    2461
      57   -3262   -1662  -32561
      58   -1507   32667   -2051
      59   15086   -6009   28459
      60  -23124  -22267   -6563
      61   -7486   21075   23947
      62   30729   -2583  -11076
      63  -12857  -23036   19434
      64  -17131   23177  -15588
      65   28522    6119   14922
      66   -5492  -25287  -20101
      67  -24938   18531   10409
      68   18913   10493  -24613
      69    2618  -32125    5897
      70  -14132    5060  -29126
      71   22767   23524    1384
      72    2760   -6981   31895
      73  -32578    1586   -3127
      74    8211   16013   27382
      75   19830  -24940   -7640
      76  -22755   -5727   22870
      77    5407   29945  -12152
      78   22341  -15411   18357
      79  -24172  -14547  -16665
      80   -3453   29496   13845
      81   23822   -7594  -21177
      82  -21035  -23325    9332
      83   -8140   18639  -25690
      84   32407    -435    4820
      85   -5396  -11503  -30202
      86  -21282   24912     307
      87   10691    3095   30818
      88   -4644  -32162   -4204
      89  -16462   10519   26306
      90   26472   17230   -8717
      91    3699  -24187   21793
      92  -28864    8094  -13229
      93   17905   21317   17281
      94   11907  -24841  -17742
      95  -30169    -657   12768
      96    9440   22119  -22254
      97   21433  -23369    8256
      98  -17957   -5891  -26767
      99    3515   32362    3743
     100    8404   -4962  -31279
     101  -26808  -18825    -768
     102   -2556   13511   29741
     103   31425   -7629   -5281
     104  -12875  -16474   25229
     105  -14500   27703   -9794
     106   25345    1446   20716
     107  -10609  -27503  -14306
     108  -19977   20298   16204
     109   25177    9253  -18819
     110   -2231  -30528   11691
     111  -20210   10993  -23331
     112   25501   19282    7179
     113    3807  -16849  -27844
     114  -31987    6583    2666
     115    3038    4183  -32356
     116   16182  -28432   -1845
     117  -15806   -1462   28664
     118   10505   30378   -6358
     119   16078  -15225   24152
     120  -28619  -11679  -10870
     121     989   26210   19639
     122   25886  -12920  -15383
     123  -22552  -18336   15127
     124   -6629   25177  -19895
     125   30564   -5175   10614
     126  -12215  -18129  -24408
     127  -16900   27401    6102
     128   15278    1958  -28920
     129   -9600  -31288    1589
     130   -4930    4349   32100
     131   29764   13387   -2922
     132     -44  -17679   27588
     133  -29037   13237   -7435
     134   17522   15302   23075
     135    8803  -29213  -11947
     136  -26764    3567   18563
     137   14995   24039  -16460
     138   16417  -24632   14050
     139  -24843   -4077  -20972
     140    8134   30274    9538
     141   15914  -13073  -25485
     142  -29043  -14313    5025
     143    -430   13176  -29997
     144   30271  -12531     513
     145   -7693   -7211   31023
     146  -10473   30789   -3999
     147   19165   -1870   26511
     148  -15790  -27420   -8511
     149  -14171   19720   21998
     150   29480    5911  -13024
     151   -6244  -26998   17486
     152  -21993   16805  -17536
     153   26504   14243   12973
     154    1644  -24182  -22049
     155  -29656   11070    8461
     156   13527   13606  -26562
     157   11553  -30407    3948
     158  -10374     644  -31074
     159   15339   28949    -563
     160    8136  -10519   29946
     161  -31495   -7478   -5076
     162    3943   20278   25434
     163   25550  -18135   -9588
     164  -21779  -12712   20921
     165   -3045   29420  -14101
     166   26903   -8977   16409
     167  -18327  -19781  -18613
     168  -11842   28140   11896
     169   23204    -623  -23126
     170  -13944  -28717    7384
     171  -11251   13534  -27638
     172   31472    8654    2871
     173    -987   -6244  -32151
     174  -27337   17990   -1640
     175   13101    8279   28870
     176    4438  -31876   -6153
     177  -21022    6200   24357
     178   20243   23454  -10665
     179   10953  -23661   19845
     180  -29038    -243  -15178
     181   11724   26478   15332
     182   17441  -19538  -19690
     183  -29514   -9245   10820
     184    2679   21924  -24203
     185   27465  -16719    6307
     186  -13036   -8895  -28715
     187   -5650   32226    1795
     188    5305   -1363   32305
     189  -20451  -25456   -2717
     190   -7841   15482   27793
     191   31929    1392   -7229
     192   -8587  -21399   23280
     193  -21163   22088  -11742
     194   25332    8926   18768
     195   -2455  -28344  -16254
